"","id","player","team","overall_ecr","adp","adp_sd","uncertainty","tier","proj_fp_avg","player_type","seasons_played","hist_fp_avg","hist_delta_avg","hist_delta_last","proj_fp_median","proj_sd","num_sources","projection_rank","replacement_points","vor","vor_rank","aav","career_games","hist_fp_max","last_season_fp","pos"
"107","13630","Courtland Sutton","DEN",85.89,88.916,18.1465650744156,0.17,6,206.68,"Veteran (3+ yrs)",8,165.7075,40.9725,-11.02,203.1,18.4357533070933,5,27,181.81,24.87,27,8.2465,114,240.3,217.7,"WR"
"108","11671","Mike Evans","SFO",56.49,68.556,11.9933875114581,0.1,6,205.92,"Veteran (3+ yrs)",11,233.945454545455,-28.0254545454546,121.12,206.5,16.9223816290734,5,28,181.81,24.11,28,13.98,161,300.1,84.8,"WR"
"109","17070","Luther Burden","CHI",56.79,61.294,9.94637340943924,0.71,7,205.32,"Young (1-2yrs)",1,129.7,75.62,75.62,206.4,51.3279358634263,5,29,181.81,23.51,29,13.0315,15,129.7,129.7,"WR"
"110","15768","Alec Pierce","IND",85.28,78.796,19.6071666489577,0.2,6,204.2,"Veteran (3+ yrs)",4,138.1,66.1,20.9,206.8,12.7888623418973,5,30,181.81,22.39,30,6.8045,64,183.3,183.3,"WR"
"111","15789","Christian Watson","GBP",50.33,68.57,8.03960944325034,0.04,6,197.66,"Veteran (3+ yrs)",4,126.475,71.185,64.96,197.3,9.80678336662944,5,31,181.81,15.85,31,9.892,47,166.2,132.7,"WR"
"112","16192","Parker Washington","JAC",73.46,79.92,10.8378946294933,0.18,7,197.16,"Veteran (3+ yrs)",3,101,96.16,22.36,198.8,18.8879061835874,5,32,181.81,15.35,32,10.301,38,174.8,174.8,"WR"
"113","14102","DK Metcalf","PIT",80.19,84.562,13.2374082055363,0.11,7,196.66,"Veteran (3+ yrs)",7,218.971428571429,-22.3114285714286,8.85999999999999,195.5,16.9435238365577,5,33,181.81,14.85,33,9.1435,112,271.3,187.8,"WR"
"114","16614","Marvin Harrison","ARI",74.22,76.764,6.97952032735775,0.22,7,195.9,"Young (1-2yrs)",2,161.15,34.75,70.1,194.4,20.4298800779642,5,34,181.81,14.09,34,8.2675,29,196.5,125.8,"WR"
"115","16206","Michael Wilson","ARI",100.76,93.974,16.632096199818,0.51,7,195.04,"Veteran (3+ yrs)",3,152.633333333333,42.4066666666666,-25.56,181.9,29.9027256282768,5,35,181.81,13.23,35,7.0485,46,220.6,220.6,"WR"
"116","16618","Brian Thomas","JAC",75.22,81.092,8.30827394829997,0.29,7,192.76,"Young (1-2yrs)",2,210.75,-17.99,53.06,191.9,23.0111494715062,5,36,181.81,10.95,36,6.3245,31,281.8,139.7,"WR"
"117","15757","Wan'Dale Robinson","TEN",124.25,110.254,20.3496797026391,0.61,8,191.52,"Veteran (3+ yrs)",4,147.625,43.895,-27.28,180.6,39.200663259695,5,37,181.81,9.71000000000001,37,5.9175,54,218.8,218.8,"WR"
"118","13163","Chris Godwin","TBB",93.64,97.24,12.4709197736173,0.38,8,190.9,"Veteran (3+ yrs)",9,181.544444444444,9.35555555555555,109.9,187.8,28.1024020325665,5,38,181.81,9.09,38,8.4185,119,274.4,81,"WR"
"119","17497","Carnell Tate","TEN",74.61,80.504,13.6278018770453,0.29,8,185.06,"Rookie/No History",NA,NA,NA,NA,181.7,27.5628917205724,5,39,181.81,3.25,39,28.463,NA,NA,NA,"WR"
"120","14842","Michael Pittman","PIT",111.71,114.46,15.2549428055303,0.22,9,182.64,"Veteran (3+ yrs)",6,194.95,-12.31,-17.76,189.9,19.0829243042045,5,40,181.81,0.830000000000013,40,6.2035,95,248.2,200.4,"WR"
"121","16187","Josh Downs","IND",115.79,110.998,9.9800428856794,0.11,9,181.81,"Veteran (3+ yrs)",3,159.966666666667,21.8433333333333,42.81,178.7,7.62368021365009,5,41,181.81,0,41,4.9945,47,183.8,139,"WR"
"122","14127","Jakobi Meyers","JAC",117.52,119.856,18.3868415993612,0.2,8,180.2,"Veteran (3+ yrs)",7,168.6,11.6,2.89999999999998,180.3,17.5175626158436,5,42,181.81,-1.61000000000001,42,4.054,100,219.78,177.3,"WR"
"123","12801","Tyreek Hill","FA",271.79,160.845,29.045,0.74,8,174.5,"Veteran (3+ yrs)",10,260.54,-86.04,121,174.5,NA,1,43,181.81,-7.31,43,2.088,145,378.2,53.5,"WR"
"124","16184","Jayden Reed","GBP",106.86,118.378,20.6629217682302,0.54,8,173.12,"Veteran (3+ yrs)",3,156.966666666667,16.1533333333333,123.72,180.7,36.5532761869576,5,44,181.81,-8.69,44,4.086,38,218.5,49.4,"WR"
"125","16186","Jordan Addison","MIN",97.81,108.224,13.9396794798159,0.38,8,171.48,"Veteran (3+ yrs)",3,190.233333333333,-18.7533333333333,35.78,169,28.4296851899559,5,45,181.81,-10.33,45,4.4805,46,221.6,135.7,"WR"
"126","16188","Quentin Johnston","LAC",90.99,100.008,13.3856496293605,0.21,8,171.44,"Veteran (3+ yrs)",3,147.433333333333,24.0066666666667,-0.360000000000014,168.5,20.5067793668338,5,46,181.81,-10.37,46,5.404,45,175.6,171.8,"WR"
"127","12186","Stefon Diggs","WAS",120.57,119.33,16.0574468705333,0.34,9,171.025,"Veteran (3+ yrs)",11,233.129090909091,-62.1040909090909,-39.275,168.05,10.7008956011479,4,47,181.81,-10.785,47,7.7155,161,328.9,210.3,"WR"
"128","16620","Xavier Worthy","KCC",118.51,125.435,22.3673696486645,0.33,8,166.52,"Young (1-2yrs)",2,153.2,13.32,53.32,171.7,23.6026905245991,5,48,181.81,-15.29,48,2.822,30,193.2,113.2,"WR"
"129","15761","Khalil Shakir","BUF",146.06,140.134,16.8557047909602,0.07,10,164.34,"Veteran (3+ yrs)",4,123.825,40.515,-2.36000000000001,168.4,9.45505155988057,5,49,181.81,-17.47,49,2.827,57,183.1,166.7,"WR"
"130","14136","Deebo Samuel","SFO",140.54,128.386,19.5400190378618,0.64,9,161.38,"Veteran (3+ yrs)",7,204.051428571429,-42.6714285714285,-31.92,167.6,33.4264416293449,5,50,181.81,-20.43,50,4.598,97,356.66,193.3,"WR"
"131","17499","Makai Lemon","PHI",105.27,110.67,16.1512922083653,0.25,9,159.56,"Rookie/No History",NA,NA,NA,NA,148.9,20.9181261111028,5,51,181.81,-22.25,51,18.476,NA,NA,NA,"WR"
